frequency_mhz,distance_m,tx_power_dbm,tx_gain_dbi,rx_gain_dbi,tx_height_m,rx_height_m,obstacle_count,humidity_pct,environment,weather_condition,received_power_dbm,signal_level
5822.7,674.01,33.08,14.82,1.08,21.75,1.4,4.0,75.5,Suburban,Clear,-96.56,Fair
3520.32,1938.14,36.92,17.51,3.53,24.5,2.4,0.0,67.6,Rural,Clear,-54.12,Excellent
2622.27,3241.27,45.31,15.18,3.79,10.44,1.78,0.0,23.3,Rural,Clear,-55.01,Excellent
2079.1,391.02,20.28,15.09,0.77,20.72,1.75,6.0,41.0,,Clear,-135.91,Poor
4977.01,29.84,17.91,13.29,2.43,20.61,1.29,1.0,41.6,Suburban,Rain,-64.98,Excellent
2425.43,321.11,30.56,11.23,0.98,16.15,2.32,5.0,35.6,Indoor,Clear,-139.84,Poor
2080.43,626.65,36.88,2.67,1.17,46.62,2.39,2.0,85.5,Indoor,Clear,-140.81,Poor
2092.12,54.38,24.61,17.56,2.47,10.93,2.36,7.0,44.7,Indoor,Clear,-106.05,Poor
897.36,4227.68,38.29,9.18,2.0,32.43,1.45,9.0,10.0,Urban,Clear,-140.14,Poor
677.47,41.59,21.41,14.75,2.38,26.69,1.34,6.0,48.7,Urban,Clear,-67.56,Excellent
2371.24,2882.13,23.29,8.04,1.92,26.01,1.49,10.0,42.8,Dense Urban,Clear,-185.42,Poor
5029.65,140.46,32.41,9.3,0.37,16.02,1.53,1.0,40.6,Rural,Clear,-52.24,Excellent
722.6,10.03,20.86,9.4,0.38,41.73,,1.0,61.4,Rural,Clear,-18.52,Excellent
5024.74,292.63,36.2,17.84,1.31,22.96,1.86,1.0,26.6,Rural,,-46.94,Excellent
4987.07,496.28,35.79,5.38,2.61,37.37,2.48,12.0,90.5,Dense Urban,Rain,-157.48,Poor
883.21,2220.17,35.96,10.03,1.06,22.63,1.68,1.0,52.4,Rural,Rain,-58.17,Excellent
2595.55,287.72,,4.48,3.13,46.34,1.49,7.0,55.6,Indoor,Clear,-135.14,Poor
847.2,17.95,41.0,9.91,3.81,19.1,1.47,4.0,46.1,Urban,Clear,-43.03,Excellent
3470.34,3172.79,37.23,10.74,4.46,43.29,1.97,4.0,86.1,Indoor,Clear,-169.13,Poor
3516.76,335.64,35.75,4.19,4.72,39.74,2.1,5.0,41.2,Dense Urban,Clear,-124.25,Poor
1829.8,54.06,21.12,13.17,1.82,44.8,1.8,2.0,59.2,Rural,Clear,-37.72,Excellent
701.72,2666.81,41.36,15.25,4.72,49.47,2.26,8.0,62.1,Urban,Rain,-113.52,Poor
5793.3,21.2,22.96,15.06,4.38,33.11,1.22,0.0,50.5,Rural,Clear,-31.34,Excellent
2093.57,18.33,21.15,13.67,1.58,39.2,1.99,1.0,66.3,Rural,Storm,-30.77,Excellent
4975.76,277.95,44.99,4.25,1.85,32.82,1.99,5.0,72.4,Urban,Clear,-99.38,Fair
2585.97,485.9,19.89,11.94,0.84,45.77,2.37,3.0,69.6,Suburban,Clear,-93.66,Fair
3500.13,239.37,24.73,13.17,4.35,34.68,1.47,6.0,52.9,Urban,Clear,-107.91,Poor
3495.91,3216.04,24.68,14.15,2.65,43.85,1.68,6.0,49.8,Urban,Clear,-145.03,Poor
852.7,51.21,47.4,13.35,1.03,,1.84,1.0,57.7,Rural,Clear,-5.09,Excellent
1820.94,4705.6,48.44,12.06,4.05,11.8,1.88,2.0,46.9,Rural,Fog,-57.05,Excellent
2083.51,11.28,43.14,13.64,4.25,13.95,1.57,4.0,34.0,Indoor,Clear,-51.03,Excellent
2071.66,20.89,22.8,15.64,3.2,36.1,1.86,3.0,58.1,Suburban,Clear,-43.12,Excellent
672.29,31.71,39.03,11.11,1.97,43.41,1.41,1.0,84.4,Rural,Clear,-6.05,Excellent
2378.05,16.4,45.02,4.32,1.1,19.69,1.68,2.0,65.1,Suburban,Storm,-37.24,Excellent
854.23,152.31,30.92,15.06,3.83,33.61,2.43,7.0,28.4,Urban,Fog,-78.81,Good
3518.49,2165.78,24.32,12.58,3.85,31.01,1.44,3.0,56.7,Urban,Clear,-134.42,Poor
2623.21,1641.36,44.14,12.99,2.55,36.36,1.38,1.0,73.3,Suburban,Clear,-79.19,Good
5808.11,1023.47,19.61,6.71,3.71,19.22,1.24,4.0,51.6,Suburban,Clear,-115.3,Poor
3494.19,10.47,48.56,4.39,1.0,18.88,2.15,5.0,58.5,Urban,Rain,-50.39,Excellent
1779.27,2170.27,31.21,14.49,2.65,41.18,2.01,5.0,98.0,Suburban,Clear,-96.16,Fair
5794.09,117.53,40.81,2.79,1.63,11.94,1.46,7.0,92.4,Urban,Clear,-101.48,Poor
2089.94,943.34,29.2,8.44,4.96,37.76,1.73,2.0,55.3,Suburban,Clear,-86.69,Fair
1822.2,916.08,45.31,10.14,2.12,12.86,1.45,3.0,69.8,Suburban,Clear,-80.03,Good
5799.2,30.14,46.68,2.28,1.03,14.13,2.11,7.0,50.8,Dense Urban,Clear,-87.99,Fair
1783.57,246.06,30.27,11.55,0.98,19.71,1.38,6.0,49.4,Urban,Clear,-103.37,Poor
687.33,3160.35,23.32,3.91,4.98,23.66,2.18,1.0,74.8,Suburban,Clear,-107.39,Poor
2078.19,51.28,19.87,5.86,5.0,49.47,1.64,1.0,74.3,Suburban,Fog,-61.72,Excellent
3525.12,850.82,45.21,17.9,4.0,28.26,1.82,9.0,68.9,Urban,Clear,-110.21,Poor
823.02,3852.57,44.75,10.96,2.4,27.16,2.25,3.0,51.3,Suburban,Rain,-88.09,Fair
2070.77,94.04,38.52,17.49,3.33,40.83,1.89,2.0,92.6,Suburban,Clear,-40.51,Excellent
830.98,111.23,20.36,9.88,3.51,20.79,1.7,7.0,33.8,Urban,Clear,-91.92,Fair
2618.65,166.51,47.06,14.85,0.65,33.88,1.7,7.0,57.8,Urban,Clear,-79.01,Good
2101.41,1526.06,30.82,2.61,0.72,37.99,1.88,3.0,32.8,Suburban,Clear,-105.84,Poor
1807.55,153.33,25.11,6.66,1.97,44.25,1.41,11.0,58.1,Dense Urban,Clear,-132.68,Poor
891.46,205.29,30.68,6.53,1.87,14.9,1.56,7.0,50.0,Dense Urban,Fog,-117.77,Poor
2374.12,39.81,47.24,3.12,2.34,36.19,1.92,6.0,83.2,Urban,Clear,-61.45,Excellent
2621.37,4650.65,43.25,17.23,1.51,10.19,1.46,6.0,55.8,Urban,Clear,-136.03,Poor
5781.51,2561.16,35.58,10.07,3.09,29.87,2.0,1.0,83.8,Suburban,Rain,-108.22,Poor
2071.98,416.94,42.66,11.49,3.77,24.43,1.53,3.0,52.2,Suburban,Clear,-67.49,Excellent
854.36,3913.12,46.88,10.33,4.36,42.59,2.03,3.0,46.2,Indoor,Storm,-151.21,Poor
4975.0,714.8,38.02,5.98,2.05,39.09,1.36,5.0,64.4,Dense Urban,Fog,-142.15,Poor
2575.75,3877.91,25.18,16.79,1.46,37.66,1.85,6.0,13.9,Indoor,Fog,-187.92,Poor
3518.02,27.29,19.31,12.7,0.75,16.78,2.18,2.0,49.1,Indoor,Storm,-103.75,Poor
699.5,40.6,20.34,3.98,,22.4,1.61,7.0,60.3,Dense Urban,Clear,-95.41,Fair
1784.49,2449.52,22.81,9.39,0.19,21.51,2.19,4.0,98.0,Urban,Clear,-144.22,Poor
3490.92,135.9,45.44,2.02,4.29,17.76,1.63,3.0,68.8,Suburban,Clear,-63.46,Excellent
5013.75,100.4,20.56,12.8,2.38,26.85,2.2,7.0,19.9,Indoor,Rain,-135.04,Poor
2073.98,1086.25,20.59,10.38,3.05,27.01,2.33,11.0,42.4,Dense Urban,Rain,-170.5,Poor
4976.99,502.61,45.95,16.47,2.0,24.0,1.26,2.0,33.5,Rural,Clear,-43.5,Excellent
5006.98,84.85,29.66,17.16,0.02,41.76,1.54,2.0,65.2,Rural,Clear,-41.76,Excellent
1806.42,118.53,17.83,3.57,3.94,37.62,2.46,4.0,74.6,Urban,Clear,-98.23,Fair
5028.35,126.54,44.11,3.43,2.37,41.8,1.32,6.0,26.1,Dense Urban,Clear,-107.52,Poor
892.47,21.93,46.27,16.39,2.03,42.33,1.37,2.0,79.1,Rural,Clear,6.44,Excellent
873.9,41.64,37.08,10.19,3.79,18.83,1.22,3.0,38.0,Urban,Clear,-54.05,Excellent
2602.25,282.34,20.28,9.51,1.74,47.85,1.55,8.0,38.4,Urban,Fog,-117.71,Poor
2608.3,1288.63,38.41,11.13,3.24,36.02,1.97,5.0,31.8,Suburban,Clear,-95.44,Fair
828.38,135.21,46.14,9.46,3.63,41.93,1.53,7.0,44.5,Urban,Clear,-69.38,Excellent
5003.17,108.31,45.48,11.83,4.91,47.13,2.46,0.0,56.4,Rural,Rain,-25.41,Excellent
831.87,569.8,36.69,17.19,3.84,42.61,1.8,5.0,79.8,Suburban,Fog,-63.21,Excellent
5020.68,26.57,46.37,11.7,0.12,32.38,2.0,1.0,30.2,Rural,Storm,-22.62,Excellent
720.11,106.57,42.43,7.13,3.12,29.2,1.5,6.0,31.1,Urban,Clear,-68.45,Excellent
3495.78,36.45,21.6,5.41,3.08,31.92,2.02,8.0,73.9,Urban,Clear,-90.67,Fair
3528.0,573.82,36.98,17.46,0.62,44.98,1.55,1.0,49.3,Rural,Rain,-49.77,Excellent
3528.79,20.1,37.38,11.27,3.75,12.65,2.42,2.0,42.3,Indoor,Clear,-74.08,Good
2577.76,161.68,41.78,11.07,1.87,25.48,2.27,4.0,60.4,Suburban,Clear,-62.11,Excellent
2092.06,406.52,38.6,2.53,3.12,21.37,1.22,3.0,44.8,Suburban,Fog,-82.28,Good
3506.02,1778.55,45.16,16.69,1.34,27.86,1.73,9.0,37.1,Urban,Rain,-125.79,Poor
875.09,902.7,34.96,9.51,0.89,34.09,1.74,4.0,49.7,Urban,Clear,-108.95,Poor
3492.96,3505.58,,18.0,1.98,40.9,1.91,7.0,60.5,Indoor,Rain,-189.62,Poor
2385.67,683.87,29.84,4.69,1.03,10.34,2.25,6.0,,Indoor,Rain,-169.73,Poor
2127.12,87.59,46.43,7.22,4.93,27.26,2.33,11.0,75.8,Dense Urban,Clear,-97.84,Fair
2394.7,42.21,46.68,5.36,3.63,21.61,1.95,8.0,52.4,Dense Urban,Clear,-80.28,Good
2415.76,14.21,33.65,8.06,0.19,39.45,2.11,5.0,51.9,Suburban,Clear,-41.43,Excellent
693.2,56.13,24.14,17.63,1.92,20.98,1.57,4.0,43.8,Suburban,Clear,-47.6,Excellent
827.91,23.41,24.67,8.64,4.56,19.37,1.31,2.0,47.2,Suburban,Clear,-39.76,Excellent
921.79,99.2,24.84,15.23,2.98,16.91,1.21,1.0,40.2,Suburban,Rain,-54.29,Excellent
820.03,787.48,21.58,14.08,2.42,30.13,1.23,6.0,78.0,Urban,Clear,-118.66,Poor
2073.36,737.53,45.95,6.77,2.68,12.08,2.15,7.0,58.4,Urban,Clear,-112.49,Poor
2591.86,72.23,36.19,11.28,1.52,37.91,1.47,4.0,45.6,Suburban,Rain,-57.86,Excellent
2611.21,235.81,27.13,15.63,1.94,45.37,2.12,13.0,38.3,Dense Urban,Rain,-139.16,Poor
2090.5,38.46,45.07,11.78,0.99,17.84,1.32,2.0,45.8,Indoor,Clear,-72.92,Good
4973.98,227.78,28.37,6.24,3.55,29.8,2.26,7.0,64.9,Urban,Clear,-114.26,Poor
2389.07,238.07,43.5,15.81,1.18,45.21,2.01,4.0,48.0,Suburban,Clear,-56.43,Excellent
684.7,65.04,34.55,10.9,2.12,44.1,1.69,6.0,50.6,Dense Urban,Rain,-82.51,Good
3470.33,50.15,21.53,17.68,4.63,41.28,2.27,1.0,57.5,Rural,Storm,-40.03,Excellent
2402.09,4403.95,45.22,12.49,2.03,17.46,2.1,7.0,43.9,Urban,Clear,-135.77,Poor
2577.0,281.63,44.16,9.18,1.69,27.48,2.28,4.0,53.0,Suburban,Clear,-68.31,Excellent
2387.25,328.87,50.0,8.97,2.11,49.33,2.12,0.0,96.1,Rural,Clear,-28.16,Excellent
2408.47,10.5,20.45,16.08,1.25,19.68,1.26,9.0,58.7,Urban,Rain,-66.63,Excellent
713.51,30.96,21.45,17.69,3.66,15.33,1.94,1.0,59.5,Rural,Rain,-21.9,Excellent
2385.81,91.73,21.98,8.57,3.39,26.53,1.91,6.0,40.3,Urban,Clear,-98.13,Fair
3489.75,4047.18,43.99,4.61,1.26,16.05,2.27,3.0,72.4,Indoor,Rain,-187.95,Poor
1784.81,29.71,43.98,2.64,2.1,28.83,1.43,7.0,42.1,Dense Urban,Clear,-74.74,Good
2627.41,65.85,21.65,7.16,2.66,34.77,1.49,7.0,61.6,Urban,Rain,-97.26,Fair
681.43,4703.31,20.41,7.47,4.34,25.8,1.32,2.0,13.6,Rural,Clear,-78.73,Good
1780.99,198.84,42.81,8.81,1.68,20.11,1.79,1.0,39.1,Rural,Clear,-35.18,Excellent
2096.7,72.34,27.47,4.32,2.89,28.42,1.21,13.0,43.9,Dense Urban,Clear,-121.34,Poor
5781.36,515.37,44.38,9.88,4.7,41.63,2.01,13.0,48.9,Dense Urban,Fog,-140.5,Poor
879.4,218.53,18.86,17.09,1.31,42.71,1.4,1.0,46.7,Rural,Storm,-44.71,Excellent
875.75,3838.19,37.23,5.72,3.64,10.25,1.4,4.0,79.3,Urban,Rain,-137.17,Poor
,16.77,19.76,12.96,3.28,11.8,1.33,2.0,53.7,Indoor,Rain,-81.96,Good
5806.72,1360.4,43.62,2.61,0.75,46.69,1.79,10.0,79.4,Dense Urban,Clear,-162.36,Poor
5009.01,56.66,19.65,12.3,4.92,19.11,1.48,2.0,36.3,Suburban,Rain,-72.5,Good
716.4,1503.75,21.18,17.0,3.91,26.25,1.25,5.0,30.7,Suburban,Fog,-94.98,Fair
889.58,1940.76,19.02,6.52,2.14,14.5,1.49,3.0,84.9,Urban,Clear,-136.98,Poor
5025.11,1958.97,23.65,15.06,2.8,23.38,2.14,0.0,36.9,Rural,Clear,-74.46,Good
713.99,2183.66,31.05,3.32,1.8,40.45,1.21,3.0,60.7,Urban,Rain,-126.55,Poor
5018.28,867.37,36.97,7.73,1.31,12.12,1.53,4.0,49.8,Suburban,Clear,-100.53,Poor
913.26,24.23,44.67,2.11,4.48,27.93,1.5,1.0,32.3,Rural,Rain,-13.97,Excellent
5791.51,13.81,45.03,7.68,2.93,34.63,1.54,2.0,27.6,Rural,Fog,-16.81,Excellent
886.98,83.12,19.0,6.96,,21.46,1.49,4.0,38.5,Urban,Storm,-91.02,Fair
2095.35,216.86,26.79,13.08,4.26,42.85,1.66,9.0,46.3,Urban,Rain,-103.99,Poor
2575.82,65.58,46.11,6.71,2.21,10.15,2.2,9.0,63.2,Dense Urban,Clear,-94.39,Fair
847.08,1007.38,17.5,15.17,0.92,27.09,2.03,2.0,56.4,Rural,Fog,-64.06,Excellent
2372.59,890.95,43.11,6.66,0.76,44.08,1.63,1.0,48.2,Rural,Clear,-50.26,Excellent
2370.24,4199.48,27.81,5.57,4.7,14.67,2.13,11.0,75.7,Dense Urban,Fog,-194.5,Poor
3525.89,120.54,21.19,9.91,,17.68,1.63,1.0,81.5,Rural,Clear,-56.08,Excellent
5811.36,1320.25,21.0,12.5,1.98,36.21,1.82,2.0,58.1,Rural,Rain,-86.41,Fair
2603.71,1001.1,23.04,16.22,2.69,22.58,1.98,3.0,45.4,Indoor,Rain,-159.84,Poor
2090.47,4662.35,17.17,15.02,2.88,19.88,1.92,0.0,54.7,Rural,Clear,-80.15,Good
2104.23,1224.52,22.16,10.39,2.16,30.88,1.69,7.0,60.1,Urban,Fog,-139.08,Poor
2123.49,58.26,37.39,17.65,4.68,35.28,1.54,2.0,25.9,Indoor,Clear,-81.04,Good
5009.14,11.0,42.07,6.74,1.66,38.6,2.05,4.0,53.6,Suburban,Clear,-34.08,Excellent
1806.15,4102.53,36.49,17.99,0.57,25.29,1.72,5.0,55.7,Suburban,Fog,-102.88,Poor
847.61,856.35,43.37,8.16,4.98,33.57,1.95,5.0,35.0,Indoor,Rain,-132.2,Poor
1790.74,1560.27,20.07,6.2,1.1,46.72,1.74,4.0,43.9,Suburban,Clear,-112.06,Poor
711.91,1383.38,21.51,8.12,4.72,48.02,2.23,13.0,40.0,Dense Urban,Rain,-164.7,Poor
878.86,967.83,37.03,11.37,4.23,35.3,2.42,6.0,79.2,Urban,Clear,-104.82,Poor
695.49,1067.1,19.57,9.58,3.89,31.52,2.43,9.0,30.5,Dense Urban,Clear,-153.47,Poor
3493.53,3225.37,39.59,2.8,0.66,39.7,1.25,1.0,62.6,Suburban,Clear,-106.63,Poor
3495.69,2931.97,22.85,7.7,0.17,46.34,1.82,13.0,87.5,Dense Urban,Rain,-198.9,Poor
2595.53,105.57,30.2,9.87,0.85,19.0,1.67,3.0,53.1,Urban,Rain,-87.5,Fair
2129.44,12.12,37.39,12.61,2.01,24.91,1.32,5.0,82.8,Indoor,Storm,-70.81,Good
3512.41,12.72,45.52,17.25,3.96,10.89,2.29,3.0,57.0,Suburban,Fog,-22.37,Excellent
841.55,160.5,18.92,17.29,1.96,48.69,2.07,2.0,64.7,Rural,Fog,-40.01,Excellent
5792.29,1793.02,37.69,10.22,0.16,42.7,1.94,4.0,27.4,Suburban,Fog,-108.76,Poor
2395.85,1939.44,37.7,11.11,0.36,13.06,2.4,13.0,80.7,Dense Urban,Clear,-168.73,Poor
5772.2,123.43,23.12,13.17,2.3,44.76,2.04,3.0,49.0,Urban,Clear,-93.23,Fair
851.67,65.17,38.11,15.37,0.14,38.3,2.4,4.0,53.6,Urban,Clear,-56.87,Excellent
2118.68,232.97,21.14,13.92,3.78,44.51,2.07,0.0,47.9,Rural,Clear,-46.34,Excellent
2609.63,1766.07,44.08,13.53,1.23,44.05,1.3,2.0,39.8,Rural,Clear,-50.8,Excellent
2081.91,522.26,21.96,9.16,2.44,19.9,1.22,2.0,71.3,Rural,Storm,-73.48,Good
2113.68,23.84,18.11,15.9,3.96,21.67,2.34,5.0,47.5,Suburban,Clear,-55.14,Excellent
863.17,94.99,18.49,12.6,2.76,23.53,1.9,3.0,39.1,Urban,Clear,-80.18,Good
1785.75,315.56,31.03,4.55,4.41,37.82,1.63,3.0,40.2,Indoor,Fog,-131.6,Poor
907.37,283.63,25.13,11.57,4.24,36.4,1.98,1.0,36.0,Suburban,Rain,-65.59,Excellent
1806.66,1745.24,31.1,6.97,0.87,29.52,1.77,1.0,85.0,Rural,Fog,-69.67,Excellent
2620.39,3280.22,45.75,5.25,0.11,31.77,1.58,5.0,57.6,Urban,Storm,-140.42,Poor
2578.16,18.67,48.52,12.38,4.32,28.04,1.66,8.0,39.0,Urban,Rain,-47.67,Excellent
2581.69,40.33,42.33,12.28,3.28,23.0,2.01,7.0,38.6,Urban,Clear,-63.69,Excellent
1799.16,114.4,28.28,17.28,4.59,42.56,2.03,2.0,75.7,Indoor,Clear,-98.8,Fair
5772.65,63.09,20.38,17.62,0.42,32.85,2.41,3.0,60.4,Suburban,Clear,-69.99,Excellent
694.94,126.46,31.94,8.54,4.93,40.63,2.23,0.0,25.1,Rural,Clear,-22.44,Excellent
1817.29,12.88,18.73,4.86,4.92,16.37,2.17,2.0,10.0,Indoor,Clear,-82.32,Good
828.92,15.07,17.44,4.25,1.34,19.87,2.23,1.0,57.8,Suburban,Rain,-50.34,Excellent
1797.6,1831.1,23.06,17.59,0.29,26.22,1.22,0.0,82.4,Rural,Fog,-64.97,Excellent
5829.39,18.92,44.16,8.33,1.86,18.97,2.47,2.0,39.4,Suburban,Clear,-34.6,Excellent
1800.36,1675.54,38.55,7.48,2.17,34.41,2.44,6.0,67.2,Urban,Clear,-126.53,Poor
5799.9,67.18,38.47,11.94,1.34,38.58,1.5,5.0,90.6,Indoor,Storm,-113.9,Poor
2103.53,68.33,20.95,2.92,0.27,19.08,2.29,0.0,28.8,Rural,Fog,-52.18,Excellent
2581.16,18.7,44.09,12.35,4.33,10.52,1.69,3.0,35.6,Indoor,Fog,-64.75,Excellent
2078.83,10.86,43.0,16.01,1.06,34.27,2.13,2.0,48.0,Rural,Clear,1.17,Excellent
910.64,90.97,34.79,13.59,4.37,49.25,1.54,4.0,62.6,Urban,Rain,-63.98,Excellent
3493.75,1797.23,43.93,8.68,1.29,23.09,2.42,0.0,61.8,Rural,Clear,-57.96,Excellent
5787.39,3040.41,47.82,3.86,4.25,35.37,2.37,2.0,,Suburban,Clear,-98.35,Fair
871.88,14.66,42.99,5.86,1.41,11.92,2.26,4.0,98.0,Indoor,Rain,-61.77,Excellent
3520.76,12.12,49.59,6.25,0.5,32.75,1.28,9.0,71.4,Urban,Clear,-52.87,Excellent
871.94,26.83,21.47,8.16,4.11,32.4,1.29,9.0,48.2,Dense Urban,Rain,-88.89,Fair
3515.0,1170.02,21.45,4.13,1.39,32.69,1.89,2.0,51.2,Suburban,Clear,-111.22,Poor
3492.92,35.73,22.55,11.21,1.54,29.43,2.34,6.0,47.6,Urban,Clear,-80.58,Good
2105.92,41.97,22.48,7.86,2.04,28.02,1.49,3.0,80.0,Suburban,Rain,-64.44,Excellent
3484.86,2507.43,37.43,9.94,,44.6,1.37,5.0,24.7,Indoor,Rain,-173.56,Poor
879.32,2298.59,44.89,6.56,3.18,10.53,1.8,3.0,50.3,Urban,Clear,-117.34,Poor
702.0,644.3,23.85,9.26,0.38,24.99,2.41,3.0,17.3,Urban,Clear,-114.66,Poor
711.74,27.71,43.82,13.4,4.77,26.67,2.43,3.0,61.1,Suburban,Rain,-19.97,Excellent
2081.73,106.83,22.42,3.41,0.26,43.15,2.41,1.0,65.2,Rural,Clear,-54.3,Excellent
5796.18,43.39,45.26,10.16,4.18,25.59,1.86,4.0,26.4,Urban,Fog,-62.69,Excellent
846.68,650.57,37.51,11.89,3.58,13.57,2.42,1.0,23.0,Rural,Rain,-40.57,Excellent
2082.96,1273.53,30.91,12.68,1.45,14.9,2.48,1.0,55.5,Rural,Clear,-61.12,Excellent
3503.9,24.19,29.99,16.76,2.99,14.81,2.38,10.0,62.0,Dense Urban,Clear,-84.79,Good
878.76,2651.89,45.68,14.5,2.75,34.15,1.77,9.0,26.0,Dense Urban,Rain,-142.37,Poor
3500.58,177.48,26.9,13.82,3.33,31.21,1.53,1.0,49.6,Rural,Clear,-45.82,Excellent
1776.81,1398.61,20.13,15.89,3.69,19.97,2.18,9.0,68.2,Dense Urban,Rain,-161.26,Poor
4999.13,13.78,37.89,16.63,2.57,17.56,1.54,3.0,64.6,Indoor,Clear,-65.54,Excellent
2388.7,94.02,36.91,15.43,3.58,46.38,1.66,4.0,46.7,Indoor,Clear,-94.1,Fair
2397.13,10.96,41.83,11.82,0.99,33.44,1.9,1.0,41.1,Suburban,Clear,-17.36,Excellent
846.02,869.3,27.48,15.49,3.46,43.73,2.32,6.0,10.0,Dense Urban,Clear,-126.68,Poor
2124.48,16.38,23.68,7.22,2.14,20.58,1.82,6.0,39.7,Urban,Clear,-69.75,Excellent
4999.4,81.85,20.05,17.23,4.71,28.99,,5.0,61.5,Urban,Clear,-92.27,Fair
719.11,1288.0,48.08,4.78,4.28,20.28,1.95,2.0,54.1,Rural,Rain,-44.68,Excellent
3483.54,1050.6,20.83,5.67,0.01,16.38,1.3,2.0,70.0,Suburban,Fog,-116.9,Poor
2091.12,534.72,29.29,4.54,3.8,25.57,1.51,2.0,92.6,Rural,Storm,-67.61,Excellent
3474.51,746.69,18.02,14.43,3.01,10.12,1.34,6.0,55.0,Indoor,Clear,-172.68,Poor
2595.24,572.34,24.54,8.95,3.57,45.6,1.95,5.0,13.9,Suburban,Rain,-97.7,Fair
2110.12,538.0,21.86,13.81,1.29,27.99,1.52,7.0,44.9,Indoor,Rain,-158.41,Poor
1820.29,87.84,32.88,10.16,3.99,14.94,2.0,13.0,78.1,Dense Urban,Clear,-113.7,Poor
2603.95,11.91,46.78,8.45,0.7,28.68,2.06,4.0,79.3,Suburban,Clear,-24.99,Excellent
858.4,155.77,24.18,16.34,4.49,44.82,1.82,4.0,21.9,Suburban,Fog,-59.77,Excellent
2380.64,13.26,46.65,8.91,2.17,48.29,1.2,6.0,37.7,Urban,Clear,-40.03,Excellent
672.23,184.27,37.86,11.89,0.53,10.07,1.24,1.0,50.8,Rural,Clear,-29.76,Excellent
2617.5,178.87,46.07,15.74,3.5,48.99,1.83,5.0,73.2,Urban,Clear,-70.55,Good
2580.02,30.36,37.93,5.4,1.93,22.94,1.47,3.0,37.1,Suburban,Rain,-53.3,Excellent
675.47,1308.27,49.21,8.44,1.27,38.28,1.83,0.0,66.7,Rural,Clear,-35.45,Excellent
3526.25,795.5,37.33,4.32,3.35,40.11,1.95,8.0,10.0,Urban,Clear,-129.44,Poor
2127.81,323.73,43.04,10.68,1.67,46.26,1.81,4.0,51.9,Urban,Clear,-88.27,Fair
3506.98,3155.0,20.3,14.63,1.08,26.39,1.9,13.0,31.1,Dense Urban,Rain,-196.05,Poor
692.72,59.58,45.78,2.88,3.01,40.65,2.46,2.0,49.2,Indoor,Rain,-78.16,Good
869.99,50.96,20.37,2.97,1.75,37.41,2.02,1.0,24.2,Rural,Clear,-40.0,Excellent
